Time,Order Number (1),Order Number (2),Arrival Number
17:28:00,442.0,597.0,0.0
17:29:00,443.0,597.0,4.333333333333333
17:30:00,444.0,597.0,4.333333333333333
17:31:00,445.0,597.0,4.333333333333333
17:32:00,445.3333333333333,597.3333333333334,6.333333333333333
17:33:00,445.6666666666667,597.6666666666666,6.333333333333333
17:34:00,446.0,598.0,6.333333333333333
17:35:00,449.0,598.0,5.0
17:36:00,452.0,598.0,5.0
17:37:00,455.0,598.0,5.0
17:38:00,456.75,598.0,4.0
17:39:00,458.5,598.0,4.0
17:40:00,460.25,598.0,4.0
17:41:00,462.0,598.0,4.0
17:42:00,464.5,598.0,9.0
17:43:00,467.0,598.0,9.0
17:44:00,469.0,598.0,3.6666666666666665
17:45:00,471.0,598.0,3.6666666666666665
17:46:00,473.0,598.0,3.6666666666666665
17:47:00,475.0,598.0,4.666666666666667
17:48:00,477.0,598.0,4.666666666666667
17:49:00,479.0,598.0,4.666666666666667
17:50:00,481.3333333333333,598.0,2.6666666666666665
17:51:00,483.6666666666667,598.0,2.6666666666666665
17:52:00,486.0,598.0,2.6666666666666665
17:53:00,487.6666666666667,598.6666666666666,8.0
17:54:00,489.3333333333333,599.3333333333334,8.0
17:55:00,491.0,600.0,8.0
17:56:00,493.6666666666667,600.6666666666666,8.666666666666666
17:57:00,496.3333333333333,601.3333333333334,8.666666666666666
17:58:00,499.0,602.0,8.666666666666666
17:59:00,499.0,603.6666666666666,4.333333333333333
18:00:00,499.0,605.3333333333334,4.333333333333333
18:01:00,499.0,607.0,4.333333333333333
18:02:00,499.0,610.0,3.3333333333333335
18:03:00,499.0,613.0,3.3333333333333335
18:04:00,499.0,616.0,3.3333333333333335
18:05:00,499.0,618.0,1.3333333333333333
18:06:00,499.0,620.0,1.3333333333333333
18:07:00,499.0,622.0,1.3333333333333333
18:08:00,499.0,624.6666666666666,3.0
18:09:00,499.0,627.3333333333334,3.0
18:10:00,499.0,630.0,3.0
18:11:00,499.0,632.6666666666666,2.3333333333333335
18:12:00,499.0,635.3333333333334,2.3333333333333335
18:13:00,499.0,638.0,2.3333333333333335
18:14:00,499.0,640.3333333333334,3.6666666666666665
18:15:00,499.0,642.6666666666666,3.6666666666666665
18:16:00,499.0,645.0,3.6666666666666665
18:17:00,499.0,646.6666666666666,3.0
18:18:00,499.0,648.3333333333334,3.0
18:19:00,499.0,650.0,3.0
