Time,Order Number (1),Order Number (2),Arrival Number
11:35:00,91.0,505.0,0.0
11:36:00,92.0,505.3333333333333,7.0
11:37:00,93.0,505.6666666666667,7.0
11:38:00,94.0,506.0,7.0
11:39:00,96.75,506.0,3.25
11:40:00,99.5,506.0,3.25
11:41:00,102.25,506.0,3.25
11:42:00,105.0,506.0,3.25
11:43:00,107.0,506.0,4.4
11:44:00,109.0,506.0,4.4
11:45:00,111.0,506.0,4.4
11:46:00,113.0,506.0,4.4
11:47:00,115.0,506.0,4.4
11:48:00,116.33333333333333,506.0,5.333333333333333
11:49:00,117.66666666666667,506.0,5.333333333333333
11:50:00,119.0,506.0,5.333333333333333
11:51:00,120.5,506.0,3.5
11:52:00,122.0,506.0,3.5
11:53:00,123.5,506.0,3.5
11:54:00,125.0,506.0,3.5
11:55:00,128.0,506.0,3.3333333333333335
11:56:00,131.0,506.0,3.3333333333333335
11:57:00,134.0,506.0,3.3333333333333335
11:58:00,136.0,506.0,3.25
11:59:00,138.0,506.0,3.25
12:00:00,140.0,506.0,3.25
12:01:00,142.0,506.0,3.25
12:02:00,144.0,506.0,3.25
12:03:00,146.0,506.0,3.25
12:04:00,148.0,506.0,3.25
12:05:00,150.0,506.0,3.25
12:06:00,151.33333333333334,506.0,3.8333333333333335
12:07:00,152.66666666666666,506.0,3.8333333333333335
12:08:00,154.0,506.0,3.8333333333333335
12:09:00,155.33333333333334,506.0,3.8333333333333335
12:10:00,156.66666666666666,506.0,3.8333333333333335
12:11:00,158.0,506.0,3.8333333333333335
12:12:00,159.66666666666666,506.0,4.666666666666667
12:13:00,161.33333333333334,506.0,4.666666666666667
12:14:00,163.0,506.0,4.666666666666667
12:15:00,163.8,506.6,7.8
12:16:00,164.6,507.2,7.8
12:17:00,165.4,507.8,7.8
12:18:00,166.2,508.4,7.8
12:19:00,167.0,509.0,7.8
12:20:00,168.4,509.0,3.6
12:21:00,169.8,509.0,3.6
12:22:00,171.2,509.0,3.6
12:23:00,172.6,509.0,3.6
12:24:00,174.0,509.0,3.6
12:25:00,174.33333333333334,509.0,4.0
12:26:00,174.66666666666666,509.0,4.0
12:27:00,175.0,509.0,4.0
12:28:00,176.33333333333334,509.0,4.333333333333333
12:29:00,177.66666666666666,509.0,4.333333333333333
12:30:00,179.0,509.0,4.333333333333333
12:31:00,180.33333333333334,509.0,4.666666666666667
12:32:00,181.66666666666666,509.0,4.666666666666667
12:33:00,183.0,509.0,4.666666666666667
