Time,Order Number (1),Order Number (2),Arrival Number
11:50:00,138.0,511.0,0.0
11:51:00,138.66666666666666,511.3333333333333,9.0
11:52:00,139.33333333333334,511.6666666666667,9.0
11:53:00,140.0,512.0,9.0
11:54:00,140.66666666666666,514.0,9.0
11:55:00,141.33333333333334,516.0,9.0
11:56:00,142.0,518.0,9.0
11:57:00,144.66666666666666,519.3333333333334,8.666666666666666
11:58:00,147.33333333333334,520.6666666666666,8.666666666666666
11:59:00,150.0,522.0,8.666666666666666
12:00:00,151.6,523.8,9.0
12:01:00,153.2,525.6,9.0
12:02:00,154.8,527.4,9.0
12:03:00,156.4,529.2,9.0
12:04:00,158.0,531.0,9.0
12:05:00,159.6,534.0,5.4
12:06:00,161.2,537.0,5.4
12:07:00,162.8,540.0,5.4
12:08:00,164.4,543.0,5.4
12:09:00,166.0,546.0,5.4
12:10:00,166.66666666666666,548.0,10.0
12:11:00,167.33333333333334,550.0,10.0
12:12:00,168.0,552.0,10.0
12:13:00,169.5,554.0,4.5
12:14:00,171.0,556.0,4.5
12:15:00,172.5,558.0,4.5
12:16:00,174.0,560.0,4.5
12:17:00,176.66666666666666,561.6666666666666,5.333333333333333
12:18:00,179.33333333333334,563.3333333333334,5.333333333333333
12:19:00,182.0,565.0,5.333333333333333
12:20:00,184.0,566.3333333333334,6.666666666666667
12:21:00,186.0,567.6666666666666,6.666666666666667
12:22:00,188.0,569.0,6.666666666666667
12:23:00,189.0,569.0,4.5
12:24:00,190.0,569.0,4.5
12:25:00,192.5,569.0,2.5
12:26:00,195.0,569.0,2.5
