Time,Order Number (1),Order Number (2),Arrival Number
11:50:00,134.0,511.0,0.0
11:51:00,135.2,511.0,4.4
11:52:00,136.4,511.0,4.4
11:53:00,137.6,511.0,4.4
11:54:00,138.8,511.0,4.4
11:55:00,140.0,511.0,4.4
11:56:00,142.2,511.0,2.8
11:57:00,144.4,511.0,2.8
11:58:00,146.6,511.0,2.8
11:59:00,148.8,511.0,2.8
12:00:00,151.0,511.0,2.8
12:01:00,153.8,512.2,9.2
12:02:00,156.6,513.4,9.2
12:03:00,159.4,514.6,9.2
12:04:00,162.2,515.8,9.2
12:05:00,165.0,517.0,9.2
12:06:00,167.2,519.2,5.8
12:07:00,169.4,521.4,5.8
12:08:00,171.6,523.6,5.8
12:09:00,173.8,525.8,5.8
12:10:00,176.0,528.0,5.8
12:11:00,178.25,530.5,6.75
12:12:00,180.5,533.0,6.75
12:13:00,182.75,535.5,6.75
12:14:00,185.0,538.0,6.75
12:15:00,186.0,539.6666666666666,7.0
12:16:00,187.0,541.3333333333334,7.0
12:17:00,188.0,543.0,7.0
12:18:00,190.0,545.0,8.0
12:19:00,192.0,547.0,8.0
12:20:00,194.0,549.0,8.0
12:21:00,195.66666666666666,550.6666666666666,4.333333333333333
12:22:00,197.33333333333334,552.3333333333334,4.333333333333333
12:23:00,199.0,554.0,4.333333333333333
12:24:00,201.0,554.0,3.6666666666666665
12:25:00,203.0,554.0,3.6666666666666665
12:26:00,205.0,554.0,3.6666666666666665
12:27:00,207.0,554.0,4.0
12:28:00,209.0,554.0,4.0
12:29:00,211.0,554.0,4.0
12:30:00,213.5,554.0,3.0
12:31:00,216.0,554.0,3.0
